Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie_Age,Genre_Count,Director_Frequency,Actor1_Frequency,Genre_Encoded,Director_Encoded,combined_features
Ninne Pelladatha,1996.0,146.0,"Romance, Comedy, Drama",7.5,659.0,Krishna Vamsi,Y.V.S. Chowdary,Nagarjuna Akkineni,Tabu,30.0,3,3,1,375,1069,"Romance, Comedy, Drama Krishna Vamsi Y.V.S. Chowdary Nagarjuna Akkineni"
Nirakar Chhaya,2007.0,82.0,Drama,7.5,8.0,Ashish Avikunthak,Unknown,Unknown,Unknown,19.0,1,1,75,246,301,Drama Ashish Avikunthak Unknown Unknown
Nirbhay,1996.0,135.0,"Action, Thriller",4.9,12.0,Vinod Dewan,Sadashiv Amrapurkar,Malvika Arora,Sharokh Bharucha,30.0,2,3,9,78,2478,"Action, Thriller Vinod Dewan Sadashiv Amrapurkar Malvika Arora"
Nirdosh,1973.0,130.0,"Drama, Thriller",4.0,6.0,S.M. Sagar,Vinod Mehra,Yogeeta Bali,Sujit Kumar,53.0,2,4,9,309,1877,"Drama, Thriller S.M. Sagar Vinod Mehra Yogeeta Bali"
Nirdosh,2018.0,110.0,"Drama, Mystery, Thriller",3.9,138.0,Subroto Paul,Pradeep Rangwani,Ashmit Patel,Manjari Fadnnis,8.0,3,1,1,300,2226,"Drama, Mystery, Thriller Subroto Paul Pradeep Rangwani Ashmit Patel"
Nirmaan,1974.0,133.0,Drama,7.7,6.0,Ravi Tandon,Navin Nischol,Anupama,Rehman,52.0,1,12,11,246,1782,Drama Ravi Tandon Navin Nischol Anupama
Nirmal Anand Ki Puppy,2019.0,100.0,Drama,9.1,7.0,Sandeep Mohan,Karanveer,Gillian Pinto,Khushboo Upadhyay,7.0,1,2,1,246,1968,Drama Sandeep Mohan Karanveer Gillian Pinto
Nirmala,1938.0,128.0,Drama,5.5,14.0,Franz Osten,Devika Rani,Ashok Kumar,Maya Devi,88.0,1,6,6,246,639,Drama Franz Osten Devika Rani Ashok Kumar
Nirvana Inn,2019.0,95.0,Mystery,5.9,200.0,Vijay Jayapal,Adil Hussain,Rajshri Deshpande,Sandhya Mridul,7.0,1,1,8,363,2441,Mystery Vijay Jayapal Adil Hussain Rajshri Deshpande
Nirvana13,2011.0,95.0,Drama,9.1,99.0,Jitin Rawat,P.P. Bajaj,Anu Choudhury,Sandeep Kulkarni,15.0,1,1,1,246,891,Drama Jitin Rawat P.P. Bajaj Anu Choudhury
Nishaan,1983.0,131.0,"Action, Drama, Family",6.3,43.0,Surendra Mohan,Sikandar Khanna,Rajesh Khanna,Jeetendra,43.0,3,5,1,40,2299,"Action, Drama, Family Surendra Mohan Sikandar Khanna Rajesh Khanna"
Nishabd,2007.0,110.0,Drama,5.4,1622.0,Ram Gopal Varma,Amitabh Bachchan,Jiah Khan,Revathi,19.0,1,34,104,246,1721,Drama Ram Gopal Varma Amitabh Bachchan Jiah Khan
Nishan,1965.0,138.0,Drama,4.9,10.0,Aspi Irani,Sanjeev Kumar,Nazima,Prem Chopra,61.0,1,3,53,246,333,Drama Aspi Irani Sanjeev Kumar Nazima
Nishana,1980.0,137.0,"Action, Drama",5.9,22.0,K. Raghavendra Rao,Jeetendra,Poonam Dhillon,Shreeram Lagoo,46.0,2,16,89,38,930,"Action, Drama K. Raghavendra Rao Jeetendra Poonam Dhillon"
Nishane Bazi,1989.0,139.0,"Action, Adventure, Crime",2.9,10.0,V. Menon,Sumeet Saigal,Sripradha,Sneha,37.0,3,3,2,4,2400,"Action, Adventure, Crime V. Menon Sumeet Saigal Sripradha"
Nishant,1975.0,140.0,"Crime, Drama",7.6,564.0,Shyam Benegal,Girish Karnad,Shabana Azmi,Anant Nag,51.0,2,22,5,196,2158,"Crime, Drama Shyam Benegal Girish Karnad Shabana Azmi"
Nishchaiy,1992.0,146.0,"Action, Drama, Romance",4.2,491.0,Esmayeel Shroff,Vinod Khanna,Salman Khan,Karisma Kapoor,34.0,3,9,34,47,611,"Action, Drama, Romance Esmayeel Shroff Vinod Khanna Salman Khan"
No Entry,2005.0,158.0,"Comedy, Drama, Musical",6.6,11195.0,Anees Bazmee,Anil Kapoor,Fardeen Khan,Salman Khan,21.0,3,13,53,160,205,"Comedy, Drama, Musical Anees Bazmee Anil Kapoor Fardeen Khan"
No Man's Truth,2020.0,123.0,"Crime, Drama, Mystery",6.3,30.0,Marina Libik,Coral Bhamra,Chirag Saluja,Gaurav Kamble,6.0,3,1,1,202,1218,"Crime, Drama, Mystery Marina Libik Coral Bhamra Chirag Saluja"
No One Killed Jessica,2011.0,136.0,"Biography, Crime, Drama",7.2,11199.0,Raj Kumar Gupta,Rani Mukerji,Vidya Balan,Myra Karn,15.0,3,5,5,132,1613,"Biography, Crime, Drama Raj Kumar Gupta Rani Mukerji Vidya Balan"
No Problem,2010.0,139.0,"Action, Comedy, Crime",4.3,2299.0,Anees Bazmee,Anil Kapoor,Sanjay Dutt,Akshaye Khanna,16.0,3,13,53,18,205,"Action, Comedy, Crime Anees Bazmee Anil Kapoor Sanjay Dutt"
No Smoking,2007.0,128.0,"Drama, Horror, Mystery",7.3,6928.0,Anurag Kashyap,John Abraham,Ayesha Takia,Paresh Rawal,19.0,3,14,22,285,250,"Drama, Horror, Mystery Anurag Kashyap John Abraham Ayesha Takia"
Noblemen,2018.0,108.0,Drama,5.8,221.0,Vandana Kataria,Kunal Kapoor,Ali Haji,Mohammed Ali Mir,8.0,1,1,7,246,2412,Drama Vandana Kataria Kunal Kapoor Ali Haji
Noise of Silence,2021.0,110.0,"Drama, Romance",7.2,46.0,Saif Baidya,Puja Jha,Syed Firdaus,Sayantika Nath,5.0,2,2,1,301,1923,"Drama, Romance Saif Baidya Puja Jha Syed Firdaus"
Noor,2017.0,117.0,"Adventure, Comedy, Drama",3.9,1432.0,Sunhil Sippy,Sunny Leone,Sonakshi Sinha,Chloé Booyens,9.0,3,1,4,88,2273,"Adventure, Comedy, Drama Sunhil Sippy Sunny Leone Sonakshi Sinha"
Noorie,1979.0,120.0,"Drama, Family, Romance",6.0,159.0,Manmohan Krishna,Farooq Shaikh,Poonam Dhillon,Madan Puri,47.0,3,1,10,265,1196,"Drama, Family, Romance Manmohan Krishna Farooq Shaikh Poonam Dhillon"
Noorjehan,1967.0,130.0,"Drama, History, Romance",6.0,18.0,M. Sadiq,Meena Kumari,Pradeep Kumar,Rehman,59.0,3,8,19,279,1122,"Drama, History, Romance M. Sadiq Meena Kumari Pradeep Kumar"
Not a Love Story,2011.0,100.0,"Crime, Drama, Thriller",5.0,694.0,Ram Gopal Varma,Deepak Dobriyal,Mahie Gill,Zakir Hussain,15.0,3,34,5,204,1721,"Crime, Drama, Thriller Ram Gopal Varma Deepak Dobriyal Mahie Gill"
Notebook,2019.0,115.0,"Drama, Romance",6.9,2253.0,Nitin Kakkar,Zaheer Iqbal,Pranutan Bahl,Mir Mohammed Mehroos,7.0,2,5,1,301,1391,"Drama, Romance Nitin Kakkar Zaheer Iqbal Pranutan Bahl"
Noukadubi,2011.0,135.0,"Drama, Romance",7.6,845.0,Rituparno Ghosh,Jisshu Sengupta,Riya Sen,Raima Sen,15.0,2,6,1,301,1818,"Drama, Romance Rituparno Ghosh Jisshu Sengupta Riya Sen"
NTR Kathanayakudu,2019.0,169.0,"Biography, Drama",5.6,1866.0,Radha Krishna Jagarlamudi,Nandamuri Balakrishna,Vidya Balan,Satyanarayana Kaikala,7.0,2,3,5,134,1583,"Biography, Drama Radha Krishna Jagarlamudi Nandamuri Balakrishna Vidya Balan"
Number Game,2018.0,117.0,"Horror, Mystery, Thriller",6.3,10.0,Sumit Sinha,Aishwaryaa Rajesh,Nakul Choudharry,Rimi,8.0,3,1,1,337,2260,"Horror, Mystery, Thriller Sumit Sinha Aishwaryaa Rajesh Nakul Choudharry"
Numbri Aadmi,1991.0,125.0,"Action, Crime, Drama",4.3,19.0,Swaroop Kumar,Ishrat Ali,Arun Bakshi,Rakesh Bedi,35.0,3,7,13,28,2325,"Action, Crime, Drama Swaroop Kumar Ishrat Ali Arun Bakshi"
Nyay Anyay,1990.0,155.0,Drama,5.7,39.0,Lawrence D'Souza,Jeetendra,Jaya Prada,Sumeet Saigal,36.0,1,10,89,246,1106,Drama Lawrence D'Souza Jeetendra Jaya Prada
Nyaydaata,1999.0,123.0,Action,5.1,15.0,Vicky Ranawat,Tinnu Anand,Aparajita,Asrani,27.0,1,4,4,0,2430,Action Vicky Ranawat Tinnu Anand Aparajita
