Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie_Age,Genre_Count,Director_Frequency,Actor1_Frequency,Genre_Encoded,Director_Encoded,combined_features
#Gadhvi (He thought he was Gandhi),2019.0,109.0,Drama,7.0,8.0,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid,7.0,1,1,2,246,660,Drama Gaurav Bakshi Rasika Dugal Vivek Ghamande
#Yaaram,2019.0,110.0,"Comedy, Romance",4.4,35.0,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,7.0,2,1,5,187,1406,"Comedy, Romance Ovais Khan Prateik Ishita Raj"
...Aur Pyaar Ho Gaya,1997.0,147.0,"Comedy, Drama, Musical",4.7,827.0,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,29.0,3,15,18,160,1605,"Comedy, Drama, Musical Rahul Rawail Bobby Deol Aishwarya Rai Bachchan"
...Yahaan,2005.0,142.0,"Drama, Romance, War",7.4,1086.0,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,21.0,3,6,20,306,2143,"Drama, Romance, War Shoojit Sircar Jimmy Sheirgill Minissha Lamba"
?: A Question Mark,2012.0,82.0,"Horror, Mystery, Thriller",5.6,326.0,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,14.0,3,1,1,337,144,"Horror, Mystery, Thriller Allyson Patel Yash Dave Muntazir Ahmad"
@Andheri,2014.0,116.0,"Action, Crime, Thriller",4.0,11.0,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,12.0,3,1,1,37,421,"Action, Crime, Thriller Biju Bhaskar Nair Augustine Fathima Babu"
1:1.6 An Ode to Lost Love,2004.0,96.0,Drama,6.2,17.0,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni,22.0,1,1,10,246,1134,Drama Madhu Ambat Rati Agnihotri Gulshan Grover
1:13:7 Ek Tera Saath,2016.0,120.0,Horror,5.9,59.0,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani,10.0,1,2,3,333,282,Horror Arshad Siddiqui Pankaj Berry Anubhav Dhir
100 Days,1991.0,161.0,"Horror, Romance, Thriller",6.5,983.0,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,35.0,3,14,39,340,1448,"Horror, Romance, Thriller Partho Ghosh Jackie Shroff Madhuri Dixit"
100% Love,2012.0,166.0,"Comedy, Drama, Romance",5.7,512.0,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,14.0,3,1,2,162,1580,"Comedy, Drama, Romance Rabi Kinagi Jeet Koyel Mallick"
102 Not Out,2018.0,102.0,"Comedy, Drama",7.4,6619.0,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz,8.0,2,4,104,154,2389,"Comedy, Drama Umesh Shukla Amitabh Bachchan Rishi Kapoor"
10ml LOVE,2010.0,87.0,"Comedy, Drama, Romance",6.3,162.0,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,16.0,3,4,1,162,2094,"Comedy, Drama, Romance Sharat Katariya Neil Bhoopalam Anusha Bose"
12 O'Clock,1958.0,132.0,"Crime, Drama, Mystery",7.2,72.0,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,68.0,3,15,4,202,1500,"Crime, Drama, Mystery Pramod Chakravorty Guru Dutt Waheeda Rehman"
12 O'Clock,2021.0,105.0,"Horror, Thriller",4.4,63.0,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil,5.0,2,34,93,342,1721,"Horror, Thriller Ram Gopal Varma Mithun Chakraborty Makrand Deshpande"
127 B,2017.0,116.0,"Comedy, Horror",6.6,26.0,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik,9.0,2,1,1,174,2052,"Comedy, Horror Seshu Kmr Mast Ali Aziz Naser"
13B: Fear Has a New Address,2009.0,146.0,"Drama, Horror, Mystery",7.3,6329.0,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,17.0,3,1,6,285,2465,"Drama, Horror, Mystery Vikram K. Kumar Madhavan Neetu Chandra"
15 Park Avenue,2005.0,116.0,Drama,7.1,1002.0,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose,21.0,1,6,37,246,257,Drama Aparna Sen Shabana Azmi Konkona Sen Sharma
15th August,1993.0,168.0,Drama,5.6,15.0,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor,33.0,1,4,4,246,2430,Drama Vicky Ranawat Ronit Roy Tisca Chopra
16 December,2002.0,158.0,"Action, Thriller",6.9,1235.0,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,24.0,2,5,3,78,1175,"Action, Thriller Mani Shankar Milind Soman Danny Denzongpa"
18.11,2014.0,126.0,Action,3.5,10.0,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari,12.0,1,1,1,0,1272,Action Mohibul Haque Rehal Khan Gulshan Grover
19 Revolutions,2004.0,94.0,Drama,4.5,16.0,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey,22.0,1,1,1,246,2200,Drama Sridhar Reddy Tarun Arora Gulshan Grover
1920,2008.0,138.0,"Horror, Mystery, Romance",6.4,3100.0,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,18.0,3,30,5,336,2464,"Horror, Mystery, Romance Vikram Bhatt Rajniesh Duggall Adah Sharma"
1920 London,2016.0,120.0,"Horror, Mystery",4.1,1559.0,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal,10.0,2,2,10,335,557,"Horror, Mystery Dharmendra Suresh Desai Sharman Joshi Meera Chopra"
1920: Evil Returns,2012.0,124.0,"Drama, Horror, Romance",4.8,1811.0,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan,14.0,3,4,4,286,419,"Drama, Horror, Romance Bhushan Patel Vicky Ahuja Tia Bajpai"
1921,2018.0,144.0,"Horror, Mystery, Romance",4.5,1069.0,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,8.0,3,30,2,336,2464,"Horror, Mystery, Romance Vikram Bhatt Zareen Khan Karan Kundra"
1942: A Love Story,1994.0,157.0,"Action, Drama, History",7.2,3223.0,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,32.0,3,7,53,42,2434,"Action, Drama, History Vidhu Vinod Chopra Anil Kapoor Jackie Shroff"
1971,2007.0,136.0,"Action, Drama, War",8.1,1892.0,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal,19.0,3,2,27,50,184,"Action, Drama, War Amrit Sagar Manoj Bajpayee Ravi Kishan"
1978: A Teen Night Out,2019.0,107.0,Thriller,4.0,20.0,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam,7.0,1,1,1,387,358,Thriller Aziz Zee Abuzar Akhtar Apurva Godbole
1982 - A Love Marriage,2017.0,113.0,Comedy,5.5,106.0,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal,9.0,1,1,1,145,1507,Comedy Prashant Gore Amitkumar Sharma Omna
2 Nights in Soul Valley,2012.0,80.0,"Adventure, Horror, Mystery",6.8,21.0,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma,14.0,3,1,1,106,732,"Adventure, Horror, Mystery Harish Sharma Hemant Pandey Sumeet Sharma"
2 October,2003.0,122.0,"Action, Crime, Thriller",5.0,33.0,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika,23.0,3,1,6,37,2288,"Action, Crime, Thriller Sunil Tiwari Ashutosh Rana Rocky Verma"
2 States,2014.0,149.0,"Comedy, Drama, Romance",6.9,24034.0,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh,12.0,3,2,6,162,62,"Comedy, Drama, Romance Abhishek Varman Arjun Kapoor Alia Bhatt"
2.0,2018.0,148.0,"Action, Sci-Fi",6.2,21938.0,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson,8.0,2,3,25,76,1862,"Action, Sci-Fi S. Shankar Rajinikanth Akshay Kumar"
2001: Do Hazaar Ek,1998.0,149.0,"Crime, Mystery, Thriller",3.5,112.0,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu,28.0,3,17,39,214,1616,"Crime, Mystery, Thriller Raj N. Sippy Jackie Shroff Dimple Kapadia"
2016 the End,2017.0,130.0,Comedy,6.1,94.0,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda,9.0,1,2,2,145,831,Comedy Jaideep Chopra Divyendu Sharma Kiku Sharda
22 Days,2018.0,124.0,Thriller,6.1,8.0,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh,8.0,1,1,4,387,2135,Thriller Shivam Tiwari Rahul Dev Shivam Tiwari
22 June 1897,1979.0,121.0,"Drama, History",7.7,52.0,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit,47.0,2,1,1,277,866,"Drama, History Jayoo Patwardhan Nachiket Patwardhan Sadashiv Amrapurkar"
22 Yards,2019.0,126.0,Sport,6.1,361.0,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor,7.0,1,1,4,386,1252,Sport Mitali Ghoshal Barun Sobti Amartya Ray
23rd March 1931: Shaheed,2002.0,188.0,"Biography, Drama, History",5.1,642.0,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh,24.0,3,13,18,136,700,"Biography, Drama, History Guddu Dhanoa Bobby Deol Sunny Deol"
27 Down,1974.0,115.0,Drama,6.9,194.0,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher,52.0,1,1,2,246,348,Drama Awtar Krishna Kaul Sudhir Dalvi Rakhee Gulzar
3 AM: A Paranormal Experience,2014.0,103.0,"Horror, Romance",5.0,514.0,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier,12.0,2,2,1,338,2496,"Horror, Romance Vishal Mahadkar Salil Acharya Kavin Dave"
3 Bachelors,2012.0,114.0,"Comedy, Romance",3.3,165.0,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan,14.0,2,2,10,187,92,"Comedy, Romance Ajai Sinha Sharman Joshi Negar Khan"
3 Deewarein,2003.0,115.0,"Crime, Drama",7.8,2322.0,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla,23.0,2,11,43,196,1328,"Crime, Drama Nagesh Kukunoor Naseeruddin Shah Jackie Shroff"
3 Dev,2019.0,122.0,Comedy,6.9,35.0,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur,7.0,1,3,1,145,230,Comedy Ankush Bhatt Karan Singh Grover Ravi Dubey
3 Idiots,2009.0,170.0,"Comedy, Drama",8.4,357889.0,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,17.0,2,5,33,154,1685,"Comedy, Drama Rajkumar Hirani Aamir Khan Madhavan"
3 Storeys,2018.0,100.0,Drama,6.9,358.0,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha,8.0,1,1,1,246,273,Drama Arjun Mukerjee Aisha Ahmed Tarun Anand
3.0 Megapixel,2015.0,99.0,"Adventure, Drama",4.3,6.0,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar,11.0,2,1,3,92,593,"Adventure, Drama Divakar Ghodake Seema Azmi Meenal Chirankar"
31st October,2015.0,109.0,"Action, Drama, History",5.8,238.0,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle,11.0,3,1,2,42,2132,"Action, Drama, History Shivaji Lotan Patil Soha Ali Khan Lakha Lakhwinder Singh"
36 China Town,2006.0,140.0,"Comedy, Mystery, Thriller",5.7,4373.0,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor,20.0,3,18,18,186,31,"Comedy, Mystery, Thriller Abbas Alibhai Burmawalla Mastan Alibhai Burmawalla Akshaye Khanna"
36 Chowringhee Lane,1981.0,122.0,"Drama, Romance",7.5,392.0,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy,45.0,2,6,1,301,257,"Drama, Romance Aparna Sen Jennifer Kendal Dhritiman Chatterjee"
376 D,2020.0,128.0,"Crime, Thriller",5.7,252.0,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi,6.0,2,1,1,217,704,"Crime, Thriller Gunveen Kaur Robin Sikarwar Vivek Kumar"
377 AbNormal,2019.0,93.0,Drama,5.6,93.0,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub,7.0,1,3,10,246,628,Drama Faruk Kabir Muntazir Ahmad Shashank Arora
3D Saamri,1985.0,102.0,Horror,5.6,80.0,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta,41.0,1,20,17,333,2162,Horror Shyam Ramsay Tulsi Ramsay Rajan Sippy
3G: A Killer Connection,2013.0,125.0,"Horror, Sci-Fi, Thriller",3.6,1128.0,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan,13.0,3,2,2,341,2108,"Horror, Sci-Fi, Thriller Sheershak Anand Shantanu Ray Chhibber Neil Nitin Mukesh"
3rd EYE,2019.0,145.0,Horror,6.3,6.0,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi,7.0,1,1,1,333,1990,Horror Sanjay Niranjan Deepak Bhatia Mukul Dev
404: Error Not Found,2011.0,121.0,"Drama, Mystery, Thriller",7.3,2548.0,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat,15.0,3,5,1,300,1524,"Drama, Mystery, Thriller Prawaal Raman Rajvvir Aroraa Imaaduddin Shah"
417 Miles,2016.0,75.0,Drama,4.8,9.0,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob,10.0,1,1,1,246,1156,Drama Mainak Dhar Marilia Colturato Kyara Jacob
498A-The Wedding Gift,2012.0,113.0,"Drama, Family, Musical",7.8,21.0,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik,14.0,3,1,1,263,2245,"Drama, Family, Musical Suhaib Ilyasi Srishti Gautam Farida Jalal"
5 Ghantey Mien 5 Crore,2012.0,111.0,Thriller,5.7,75.0,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan,14.0,1,4,3,387,617,Thriller Faisal Saif Nassar Abdulla Shawar Ali
5 Rifles,1974.0,134.0,"Action, Comedy",6.5,36.0,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar,52.0,2,8,1,17,774,"Action, Comedy I.S. Johar Rakesh Khanna Rajesh Khanna"
5ters: Castle of Dark Master,2011.0,110.0,"Action, Adventure, Fantasy",4.6,19.0,G. Venugopal,Akash,Avinash,Gagan,15.0,3,1,1,7,644,"Action, Adventure, Fantasy G. Venugopal Akash Avinash"
6-5=2,2014.0,104.0,Horror,4.2,171.0,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari,12.0,1,1,2,333,406,Horror Bharat Jain Prashantt Guptha Gaurav Paswala
68 Pages,2007.0,92.0,Drama,6.2,31.0,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia,19.0,1,4,1,246,2199,Drama Sridhar Rangayan Mouli Ganguly Joy Sengupta
7 1/2 Phere: More Than a Wedding,2005.0,136.0,"Comedy, Drama",5.3,281.0,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa,21.0,2,3,7,154,798,"Comedy, Drama Ishaan Trivedi Juhi Chawla Irrfan Khan"
7 Bijliyaan,1988.0,126.0,Action,5.0,7.0,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan,38.0,1,1,2,0,1700,Action Raju Saigal Tina Ambani Shoma Anand
7 Hours to Go,2016.0,115.0,"Crime, Thriller",5.7,398.0,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt,10.0,2,2,2,217,2044,"Crime, Thriller Saurabh Varma Sandeepa Dhar Natasa Stankovic"
7 Islands and a Metro,2006.0,100.0,Documentary,6.2,10.0,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash,20.0,1,1,1,218,600,Documentary Dutta Madhusree Vibha Chhibber Harish Khanna
7 Khoon Maaf,2011.0,137.0,"Drama, Mystery, Thriller",6.1,5640.0,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh,15.0,3,10,8,300,2495,"Drama, Mystery, Thriller Vishal Bhardwaj Priyanka Chopra Jonas Vivaan Shah"
7 Saal Baad,1987.0,127.0,"Drama, Horror, Musical",4.1,34.0,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol,39.0,3,2,5,284,1890,"Drama, Horror, Musical S.U. Syed Sharmila Tagore Suresh Oberoi"
706,2019.0,120.0,Thriller,5.3,449.0,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta,7.0,1,1,8,387,2145,Thriller Shravankumar Tiwari Mohan Agashe Raayo S. Bakhirta
72 Hours: Martyr Who Never Died,2019.0,130.0,"Action, Biography, Drama",5.3,249.0,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin,7.0,3,1,2,16,344,"Action, Biography, Drama Avinash Dhyani Avinash Dhyani Yeshi Dema"
8 x 10 Tasveer,2009.0,122.0,"Action, Fantasy, Mystery",5.4,5459.0,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey,17.0,3,11,82,58,1328,"Action, Fantasy, Mystery Nagesh Kukunoor Akshay Kumar Ayesha Takia"
8119 Miles,2021.0,115.0,"Adventure, Drama, Mystery",6.6,21.0,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert,5.0,3,1,1,98,892,"Adventure, Drama, Mystery Joe Eshwar Ranji Vijayan Kuriakose Oonnittan"
88 Antop Hill,2003.0,119.0,"Mystery, Thriller",4.7,66.0,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai,23.0,2,2,3,370,1094,"Mystery, Thriller Kushan Nandy Atul Kulkarni Rahul Dev"
9 O' Clock,2017.0,124.0,Action,5.3,9.0,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat,9.0,1,1,9,0,183,Action Amrit Raj Thakur Arun Bakshi Ajeet Goswami
99,2009.0,135.0,"Comedy, Crime, Drama",7.3,2767.0,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani,17.0,3,5,5,148,1063,"Comedy, Crime, Drama Krishna D.K. Raj Nidimoru Kunal Khemu"
99 Songs,2019.0,128.0,"Musical, Romance",7.4,1901.0,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha,7.0,2,1,1,358,2509,"Musical, Romance Vishwesh Krishnamoorthy Ehan Bhat Edilsy Vargas"
99.9 FM,2005.0,90.0,"Crime, Drama",4.8,38.0,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra,21.0,2,1,4,196,1975,"Crime, Drama Sanjay Bhatia Shawar Ali Rajkumar Kanojia"
A Billion Colour Story,2016.0,105.0,Drama,8.1,412.0,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki,10.0,1,1,1,246,1423,Drama Padmakumar Narasimhamurthy Dhruva Padmakumar Gaurav Sharma
A Daughter's Tale PANKH,2017.0,145.0,Drama,6.3,10.0,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad,9.0,1,1,1,246,1533,Drama Premraaj Rajinder Verma Sunil Lahri
A Death in the Gunj,2016.0,110.0,"Drama, Thriller",7.5,4637.0,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah,10.0,2,1,4,309,1055,"Drama, Thriller Konkona Sen Sharma Kalki Koechlin Vikrant Massey"
A Far Afternoon: a Painted Saga by Krishen Khanna,2015.0,72.0,"Documentary, Biography",7.7,10.0,Sruti Harihara Subramanian,Unknown,Unknown,Unknown,11.0,2,1,75,221,2210,"Documentary, Biography Sruti Harihara Subramanian Unknown Unknown"
A Film by Aravind,2005.0,150.0,"Horror, Mystery",6.8,179.0,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi,21.0,2,1,4,335,2049,"Horror, Mystery Sekhar Suri Sherlyn Chopra Rajeev Kanakala"
A Flat,2010.0,103.0,"Drama, Horror, Romance",4.5,202.0,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney,16.0,3,2,20,286,749,"Drama, Horror, Romance Hemant Madhukar Jimmy Sheirgill Sanjay Suri"
A Flying Jatt,2016.0,151.0,"Action, Adventure, Comedy",3.0,4145.0,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones,10.0,3,6,6,3,1799,"Action, Adventure, Comedy Remo D'Souza Tiger Shroff Jacqueline Fernandez"
A Game Called Relationship,2020.0,109.0,"Comedy, Romance",6.3,181.0,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri,6.0,2,3,1,187,2513,"Comedy, Romance Vivek Sharma Mandy Takhar Vivek Sharma"
A Gentleman,2017.0,145.0,"Action, Comedy",6.2,5227.0,Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez,9.0,2,5,5,17,1063,"Action, Comedy Krishna D.K. Raj Nidimoru Sidharth Malhotra"
A Gift of Love: Sifar,2019.0,95.0,"Drama, Romance",8.0,33.0,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai,7.0,2,1,1,301,569,"Drama, Romance Dhruv Sachdev Sanjay Deyali Sudha Chandran"
A Journey of Samyak Buddha,2013.0,127.0,Drama,7.3,17.0,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare,13.0,1,1,1,246,1519,Drama Praveen Damle Geeta Agrawal Jyoti Bagat
A Mermaid Called Aida,1996.0,52.0,Documentary,6.4,7.0,Riyad Vinci Wadia,Aida Banaji,Ajay Mehta,Unknown,30.0,1,2,1,218,1819,Documentary Riyad Vinci Wadia Aida Banaji Ajay Mehta
A New Love Ishtory,2013.0,140.0,Romance,6.0,80.0,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar,13.0,1,3,1,371,900,Romance John Mathew Matthan Raqesh Bapat Gurpreet Kaur Chadha
A Rifle and a Bag,2020.0,89.0,Documentary,6.8,15.0,Cristina Hanes,Isabella Rinaldi,Arya Rothe,Unknown,6.0,1,1,1,218,483,Documentary Cristina Hanes Isabella Rinaldi Arya Rothe
A Scandall,2016.0,112.0,Thriller,3.1,142.0,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul,10.0,1,3,1,387,798,Thriller Ishaan Trivedi Johnny Baweja Reeth Mazumder-Roberts
A Sublime Love Story: Barsaat,2005.0,143.0,"Drama, Romance",3.8,627.0,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas,21.0,2,9,18,301,2270,"Drama, Romance Suneel Darshan Bobby Deol Bipasha Basu"
A Suitable Girl,2017.0,90.0,Documentary,6.9,337.0,Sarita Khurana,Smriti Mundhra,Sima Taparia,Unknown,9.0,1,1,1,218,2020,Documentary Sarita Khurana Smriti Mundhra Sima Taparia
A Thin Line,2019.0,104.0,Drama,7.9,24.0,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare,7.0,1,2,1,246,2435,Drama Vierendrra Lalit Trivikram Mattoo Rahul Roy
A Wednesday,2008.0,104.0,"Action, Crime, Drama",8.1,75118.0,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,18.0,3,5,15,28,1361,"Action, Crime, Drama Neeraj Pandey Anupam Kher Naseeruddin Shah"
Aa Ab Laut Chalen,1999.0,177.0,"Musical, Romance, Drama",5.5,1621.0,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan,27.0,3,1,74,359,1810,"Musical, Romance, Drama Rishi Kapoor Rajesh Khanna Akshaye Khanna"
AA BB KK,2018.0,121.0,Drama,8.0,249.0,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia,8.0,1,1,1,246,1752,Drama Ramkumar Shedge Shravani Abhang Sajid Ali
Aa Dekhen Zara,2009.0,117.0,"Action, Sci-Fi, Thriller",5.0,866.0,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary,17.0,3,1,5,77,878,"Action, Sci-Fi, Thriller Jehangir Surti Neil Nitin Mukesh Bipasha Basu"
Aa Gale Lag Jaa,1973.0,148.0,"Action, Drama, Romance",7.2,348.0,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha,53.0,3,19,81,47,1195,"Action, Drama, Romance Manmohan Desai Shashi Kapoor Sharmila Tagore"
Aa Gale Lag Jaa,1994.0,158.0,"Mystery, Romance",4.4,115.0,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal,32.0,2,2,2,365,721,"Mystery, Romance Hamid Ali Khan Jugal Hansraj Urmila Matondkar"
Aa Gaya Hero,2017.0,123.0,Action,2.7,339.0,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey,9.0,1,1,55,0,590,Action Dipankar Senapati Govinda Richa Sharma
Aa Jao Please,2016.0,120.0,Drama,6.8,16.0,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya,10.0,1,1,1,246,352,Drama Azad Jain Neha Chauhan Ganraj Jadhav
Aabra Ka Daabra,2004.0,144.0,Fantasy,2.4,264.0,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik,22.0,1,1,1,321,561,Fantasy Dheeraj Kumar Naveen Bawa Prabhu Deva
Aabroo,1968.0,170.0,"Comedy, Crime, Drama",5.5,21.0,C.L. Rawal,Ashok Kumar,Vimi,Rehman,58.0,3,2,91,148,447,"Comedy, Crime, Drama C.L. Rawal Ashok Kumar Vimi"
Aadamkhor,2018.0,72.0,Horror,7.4,150.0,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat,8.0,1,3,1,333,1072,Horror Kshitij Sharma Deeya Dey Anoma Pabuwal
Aadat Se Majboor,1982.0,105.0,"Action, Crime, Drama",5.5,28.0,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri,44.0,3,6,93,28,154,"Action, Crime, Drama Ambrish Sangal Mithun Chakraborty Rameshwari"
Aadha Din Aadhee Raat,1977.0,132.0,Action,5.1,18.0,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi,49.0,1,1,3,0,595,Action Doondi Jalal Agha Vinod Khanna
Aadhaar,2019.0,107.0,Drama,7.6,69.0,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav,7.0,1,1,2,246,2257,Drama Suman Ghosh Vineet Kumar Singh Saurabh Shukla
Aadharshila,1982.0,154.0,Drama,6.4,19.0,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta,44.0,1,1,2,246,306,Drama Ashok Ahuja Dolly Ahluwalia Raja Bundela
Aadhi Bhagavan,2013.0,157.0,"Action, Crime, Thriller",5.4,568.0,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran,13.0,3,1,1,37,155,"Action, Crime, Thriller Ameer Sultan Jayam Ravi Neetu Chandra"
